DATE,RATE
2019-06-14 00:00:000000,6.9241
2019-06-15 00:00:000000,6.9254
2019-06-16 00:00:000000,6.9254
2019-06-17 00:00:000000,6.924984
2019-06-18 00:00:000000,6.9268
2019-06-19 00:00:000000,6.9048
2019-06-20 00:00:000000,6.9057
2019-06-21 00:00:000000,6.8628
2019-06-22 00:00:000000,6.86996
2019-06-23 00:00:000000,6.86996
2019-06-24 00:00:000000,6.8767
2019-06-25 00:00:000000,6.8812
2019-06-26 00:00:000000,6.8897
2019-06-27 00:00:000000,6.8794
2019-06-28 00:00:000000,6.873094
2019-06-29 00:00:000000,6.8668
2019-06-30 00:00:000000,6.8668
2019-07-01 00:00:000000,6.835986
2019-07-02 00:00:000000,6.8626
2019-07-03 00:00:000000,6.885396
2019-07-04 00:00:000000,6.8711
2019-07-05 00:00:000000,6.8768
2019-07-06 00:00:000000,6.8935
2019-07-07 00:00:000000,6.8935
2019-07-08 00:00:000000,6.8909
2019-07-09 00:00:000000,6.8899
2019-07-10 00:00:000000,6.8858
2019-07-11 00:00:000000,6.8656
2019-07-12 00:00:000000,6.8719
2019-07-13 00:00:000000,6.880846
2019-07-14 00:00:000000,6.880846
2019-07-15 00:00:000000,6.874
2019-07-16 00:00:000000,6.8741
2019-07-17 00:00:000000,6.882525
2019-07-18 00:00:000000,6.8801
2019-07-19 00:00:000000,6.8755
2019-07-20 00:00:000000,6.8819
2019-07-21 00:00:000000,6.8819
2019-07-22 00:00:000000,6.879
2019-07-23 00:00:000000,6.883499
2019-07-24 00:00:000000,6.8823
2019-07-25 00:00:000000,6.875644
2019-07-26 00:00:000000,6.878949
2019-07-27 00:00:000000,6.8798
2019-07-28 00:00:000000,6.8798
2019-07-29 00:00:000000,6.8932
2019-07-30 00:00:000000,6.8882
2019-07-31 00:00:000000,6.8818
2019-08-01 00:00:000000,6.8879
2019-08-02 00:00:000000,6.9025
2019-08-03 00:00:000000,6.9402
2019-08-04 00:00:000000,6.9402
2019-08-05 00:00:000000,6.942
2019-08-06 00:00:000000,7.0442
2019-08-07 00:00:000000,7.047607
2019-08-08 00:00:000000,7.0434
2019-08-09 00:00:000000,7.051246
2019-08-10 00:00:000000,7.062523
2019-08-11 00:00:000000,7.062523
2019-08-12 00:00:000000,7.0629
2019-08-13 00:00:000000,7.0636
2019-08-14 00:00:000000,7.045613
2019-08-15 00:00:000000,7.0279
2019-08-16 00:00:000000,7.0389
2019-08-17 00:00:000000,7.0429
2019-08-18 00:00:000000,7.0429
2019-08-19 00:00:000000,7.0462
2019-08-20 00:00:000000,7.0509
2019-08-21 00:00:000000,7.0541
2019-08-22 00:00:000000,7.0744
2019-08-23 00:00:000000,7.0935
2019-08-24 00:00:000000,7.096
2019-08-25 00:00:000000,7.096
2019-08-26 00:00:000000,7.143789
2019-08-27 00:00:000000,7.1605
2019-08-28 00:00:000000,7.157592
2019-08-29 00:00:000000,7.1669
2019-08-30 00:00:000000,7.151798
2019-08-31 00:00:000000,7.1567
2019-09-01 00:00:000000,7.1567
2019-09-02 00:00:000000,7.1608
2019-09-03 00:00:000000,7.1823
2019-09-04 00:00:000000,7.1665
2019-09-05 00:00:000000,7.1343
2019-09-06 00:00:000000,7.1468
2019-09-07 00:00:000000,7.1157
2019-09-08 00:00:000000,7.1157
2019-09-09 00:00:000000,7.124419
2019-09-10 00:00:000000,7.1166
2019-09-11 00:00:000000,7.1133
2019-09-12 00:00:000000,7.079564
2019-09-13 00:00:000000,7.0795
2019-09-14 00:00:000000,7.0794
2019-09-15 00:00:000000,7.0794
2019-09-16 00:00:000000,7.0709
2019-09-17 00:00:000000,7.0882
2019-09-18 00:00:000000,7.0873
2019-09-19 00:00:000000,7.1032
2019-09-20 00:00:000000,7.0872
2019-09-21 00:00:000000,7.0916
2019-09-22 00:00:000000,7.0916
2019-09-23 00:00:000000,7.0941
2019-09-24 00:00:000000,7.1126
2019-09-25 00:00:000000,7.1204
2019-09-26 00:00:000000,7.1238
2019-09-27 00:00:000000,7.137325
2019-09-28 00:00:000000,7.122907
2019-09-29 00:00:000000,7.1228
2019-09-30 00:00:000000,7.124
2019-10-01 00:00:000000,7.148437
2019-10-02 00:00:000000,7.1484
2019-10-03 00:00:000000,7.1485
2019-10-04 00:00:000000,7.1485
2019-10-05 00:00:000000,7.1485
2019-10-06 00:00:000000,7.148288
2019-10-07 00:00:000000,7.1485
2019-10-08 00:00:000000,7.150915
2019-10-09 00:00:000000,7.1441
2019-10-10 00:00:000000,7.1154
2019-10-11 00:00:000000,7.1033
2019-10-12 00:00:000000,7.0882
2019-10-13 00:00:000000,7.0882
2019-10-14 00:00:000000,7.0676
2019-10-15 00:00:000000,7.0732
2019-10-16 00:00:000000,7.0839
2019-10-17 00:00:000000,7.0984
2019-10-18 00:00:000000,7.0851
2019-10-19 00:00:000000,7.0817
2019-10-20 00:00:000000,7.0817
2019-10-21 00:00:000000,7.0691
2019-10-22 00:00:000000,7.0772
2019-10-23 00:00:000000,7.0834
2019-10-24 00:00:000000,7.0673
2019-10-25 00:00:000000,7.0656
2019-10-26 00:00:000000,7.0656
2019-10-27 00:00:000000,7.0656
2019-10-28 00:00:000000,7.0656
2019-10-29 00:00:000000,7.0593
2019-10-30 00:00:000000,7.0611
2019-10-31 00:00:000000,7.0413
2019-11-01 00:00:000000,7.0443
2019-11-02 00:00:000000,7.0374
2019-11-03 00:00:000000,7.0373
2019-11-04 00:00:000000,7.0272
2019-11-05 00:00:000000,7.0169
2019-11-06 00:00:000000,7.0129
2019-11-07 00:00:000000,7.0149
2019-11-08 00:00:000000,6.9806
2019-11-09 00:00:000000,6.9958
2019-11-10 00:00:000000,6.9958
2019-11-11 00:00:000000,6.9996
2019-11-12 00:00:000000,7.0018
2019-11-13 00:00:000000,7.017
2019-11-14 00:00:000000,7.0191
2019-11-15 00:00:000000,7.0249
2019-11-16 00:00:000000,7.0084
2019-11-17 00:00:000000,7.0084
2019-11-18 00:00:000000,7.026
2019-11-19 00:00:000000,7.0276
2019-11-20 00:00:000000,7.0358
2019-11-21 00:00:000000,7.0394
2019-11-22 00:00:000000,7.0392
2019-11-23 00:00:000000,7.0392
2019-11-24 00:00:000000,7.0393
2019-11-25 00:00:000000,7.034
2019-11-26 00:00:000000,7.0335
2019-11-27 00:00:000000,7.029
2019-11-28 00:00:000000,7.0353
2019-11-29 00:00:000000,7.0342
2019-11-30 00:00:000000,7.0326
2019-12-01 00:00:000000,7.0326
2019-12-02 00:00:000000,7.0304
2019-12-03 00:00:000000,7.0423
2019-12-04 00:00:000000,7.0687
2019-12-05 00:00:000000,7.0525
2019-12-06 00:00:000000,7.0471
2019-12-07 00:00:000000,7.0353
2019-12-08 00:00:000000,7.0353
2019-12-09 00:00:000000,7.0374
2019-12-10 00:00:000000,7.0379
2019-12-11 00:00:000000,7.0385
2019-12-12 00:00:000000,7.032
2019-12-13 00:00:000000,6.9724
2019-12-14 00:00:000000,6.9729
2019-12-15 00:00:000000,6.9729
2019-12-16 00:00:000000,6.9771
2019-12-17 00:00:000000,6.998
2019-12-18 00:00:000000,7.0041
2019-12-19 00:00:000000,7.0032
2019-12-20 00:00:000000,7.0078
2019-12-21 00:00:000000,7.0067
2019-12-22 00:00:000000,7.0067
2019-12-23 00:00:000000,7.0128
2019-12-24 00:00:000000,7.0112
2019-12-25 00:00:000000,6.9996
2019-12-26 00:00:000000,6.997
2019-12-27 00:00:000000,7.0003
2019-12-28 00:00:000000,6.9958
2019-12-29 00:00:000000,6.9958
2019-12-30 00:00:000000,6.9846
2019-12-31 00:00:000000,6.9785
2020-01-01 00:00:000000,6.9633
2020-01-02 00:00:000000,6.9638
2020-01-03 00:00:000000,6.9704
2020-01-04 00:00:000000,6.9655
2020-01-05 00:00:000000,6.9655
2020-01-06 00:00:000000,6.9757
2020-01-07 00:00:000000,6.9522
2020-01-08 00:00:000000,6.9492
2020-01-09 00:00:000000,6.9483
2020-01-10 00:00:000000,6.9549
2020-01-11 00:00:000000,6.9197
2020-01-12 00:00:000000,6.9197
2020-01-13 00:00:000000,6.8997
2020-01-14 00:00:000000,6.8974
2020-01-15 00:00:000000,6.8888
2020-01-16 00:00:000000,6.8863
2020-01-17 00:00:000000,6.8688
2020-01-18 00:00:000000,6.8597
2020-01-19 00:00:000000,6.8597
2020-01-20 00:00:000000,6.8427
2020-01-21 00:00:000000,6.8974
2020-01-22 00:00:000000,6.902
2020-01-23 00:00:000000,6.9307
2020-01-24 00:00:000000,6.9367
2020-01-25 00:00:000000,6.9367
2020-01-26 00:00:000000,6.9367
2020-01-27 00:00:000000,6.9367
2020-01-28 00:00:000000,6.9367
2020-01-29 00:00:000000,6.9368
2020-01-30 00:00:000000,6.9367
2020-01-31 00:00:000000,6.9367
2020-02-01 00:00:000000,6.9367
2020-02-02 00:00:000000,6.9367
2020-02-03 00:00:000000,7.014
2020-02-04 00:00:000000,6.9973
2020-02-05 00:00:000000,7.0054
2020-02-06 00:00:000000,6.9644
2020-02-07 00:00:000000,6.9808
2020-02-08 00:00:000000,7.0016
2020-02-09 00:00:000000,7.0016
2020-02-10 00:00:000000,6.9845
2020-02-11 00:00:000000,6.9694
2020-02-12 00:00:000000,6.9633
2020-02-13 00:00:000000,6.9807
2020-02-14 00:00:000000,6.9871
2020-02-15 00:00:000000,6.9871
2020-02-16 00:00:000000,6.9871
2020-02-17 00:00:000000,6.9806
2020-02-18 00:00:000000,6.9962
2020-02-19 00:00:000000,7.0045
2020-02-20 00:00:000000,7.0179
2020-02-21 00:00:000000,7.0319
2020-02-22 00:00:000000,7.0272
2020-02-23 00:00:000000,7.0272
2020-02-24 00:00:000000,7.0355
2020-02-25 00:00:000000,7.0322
2020-02-26 00:00:000000,7.0387
2020-02-27 00:00:000000,7.019
2020-02-28 00:00:000000,7.007
2020-02-29 00:00:000000,6.9919
2020-03-01 00:00:000000,6.9919
2020-03-02 00:00:000000,6.9919
2020-03-03 00:00:000000,6.97
2020-03-04 00:00:000000,6.9651
2020-03-05 00:00:000000,6.9365
2020-03-06 00:00:000000,6.9552
2020-03-07 00:00:000000,6.932
2020-03-08 00:00:000000,6.9319
2020-03-09 00:00:000000,6.9429
2020-03-10 00:00:000000,6.9341
2020-03-11 00:00:000000,6.9549
2020-03-12 00:00:000000,6.9796
2020-03-13 00:00:000000,6.9863
2020-03-14 00:00:000000,7.0082
2020-03-15 00:00:000000,7.0082
2020-03-16 00:00:000000,7.0047
2020-03-17 00:00:000000,6.9966
2020-03-18 00:00:000000,7.0121
2020-03-19 00:00:000000,7.0823
2020-03-20 00:00:000000,7.0846
2020-03-21 00:00:000000,7.0958
2020-03-22 00:00:000000,7.0958
2020-03-23 00:00:000000,7.096
2020-03-24 00:00:000000,7.0909
2020-03-25 00:00:000000,7.0703
2020-03-26 00:00:000000,7.111
2020-03-27 00:00:000000,7.073967
2020-03-28 00:00:000000,7.0964
2020-03-29 00:00:000000,7.0964
2020-03-30 00:00:000000,7.0955
2020-03-31 00:00:000000,7.0882
2020-04-01 00:00:000000,7.0887
2020-04-02 00:00:000000,7.1021
2020-04-03 00:00:000000,7.0896
2020-04-04 00:00:000000,7.0923
2020-04-05 00:00:000000,7.0923
2020-04-06 00:00:000000,7.0923
2020-04-07 00:00:000000,7.0764
2020-04-08 00:00:000000,7.0512
2020-04-09 00:00:000000,7.0651
2020-04-10 00:00:000000,7.0385
2020-04-11 00:00:000000,7.0361
2020-04-12 00:00:000000,7.0361
2020-04-13 00:00:000000,7.0468
2020-04-14 00:00:000000,7.0449
2020-04-15 00:00:000000,7.0549
2020-04-16 00:00:000000,7.0819
2020-04-17 00:00:000000,7.079
2020-04-18 00:00:000000,7.0732
2020-04-19 00:00:000000,7.0732
2020-04-20 00:00:000000,7.0766
2020-04-21 00:00:000000,7.073
2020-04-22 00:00:000000,7.0866
2020-04-23 00:00:000000,7.0851
2020-04-24 00:00:000000,7.0676
2020-04-25 00:00:000000,7.0819
2020-04-26 00:00:000000,7.0818
2020-04-27 00:00:000000,7.0779
2020-04-28 00:00:000000,7.0859
2020-04-29 00:00:000000,7.0766
2020-04-30 00:00:000000,7.08
2020-05-01 00:00:000000,7.0623
2020-05-02 00:00:000000,7.0625
2020-05-03 00:00:000000,7.0625
2020-05-04 00:00:000000,7.0625
2020-05-05 00:00:000000,7.0625
2020-05-06 00:00:000000,7.0887
2020-05-07 00:00:000000,7.0963
2020-05-08 00:00:000000,7.075
2020-05-09 00:00:000000,7.0742
2020-05-10 00:00:000000,7.0742
2020-05-11 00:00:000000,7.081
2020-05-12 00:00:000000,7.0944
2020-05-13 00:00:000000,7.0914
2020-05-14 00:00:000000,7.0966
2020-05-15 00:00:000000,7.101
2020-05-16 00:00:000000,7.1022
2020-05-17 00:00:000000,7.1022
2020-05-18 00:00:000000,7.1095
2020-05-19 00:00:000000,7.1101
2020-05-20 00:00:000000,7.10568
2020-05-21 00:00:000000,7.1044
2020-05-22 00:00:000000,7.1206
2020-05-23 00:00:000000,7.1304
2020-05-24 00:00:000000,7.1304
2020-05-25 00:00:000000,7.1386
2020-05-26 00:00:000000,7.1324
2020-05-27 00:00:000000,7.1586
2020-05-28 00:00:000000,7.1539
2020-05-29 00:00:000000,7.1508
2020-05-30 00:00:000000,7.1373
2020-05-31 00:00:000000,7.1373
2020-06-01 00:00:000000,7.1373
2020-06-02 00:00:000000,7.12
2020-06-03 00:00:000000,7.1122
2020-06-04 00:00:000000,7.1265
2020-06-05 00:00:000000,7.098
2020-06-06 00:00:000000,7.082
2020-06-07 00:00:000000,7.082
2020-06-08 00:00:000000,7.0857
2020-06-09 00:00:000000,7.0783
2020-06-10 00:00:000000,7.0738
2020-06-11 00:00:000000,7.0711
2020-06-12 00:00:000000,7.0843
